,name,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
0,Havana,Valid,NMIM,,Found,301.0,40.33333,-90.05,"(40.333330, -90.050000)"
1,Wietrzno-Bobrka,Valid,UN,0.376,Found,601.0,49.41667,21.7,"(49.416670, 21.700000)"
2,Nogata,Valid,OC,0.472,Fell,860.0,33.725,130.75,"(33.725000, 130.750000)"
3,Narni,Valid,UN,,Fell,920.0,42.51667,12.51667,"(42.516670, 12.516670)"
4,Elbogen,Valid,MIM,107.0,Fell,1399.0,50.18333,12.73333,"(50.183330, 12.733330)"
5,Rivolta de Bassi,Valid,UN,0.1033,Fell,1490.0,45.48333,9.51667,"(45.483330, 9.516670)"
6,Ensisheim,Valid,OC,127.0,Fell,1491.0,47.86667,7.35,"(47.866670, 7.350000)"
7,Valdinoce,Valid,UN,,Fell,1495.0,44.06667,12.1,"(44.066670, 12.100000)"
8,Oliva-Gandia,Valid,UN,,Fell,1519.0,39.0,-0.03333,"(39.000000, -0.033330)"
9,Campo del Cielo,Valid,NMIM,50000.0,Found,1575.0,-27.46667,-60.58333,"(-27.466670, -60.583330)"
10,Castrovillari,Valid,UN,15.0,Fell,1583.0,39.8,16.2,"(39.800000, 16.200000)"
11,Morito,Valid,MIM,10100.0,Found,1600.0,27.05,-105.43333,"(27.050000, -105.433330)"
12,Jalandhar,Valid,UN,1.967,Fell,1621.0,31.0,75.0,"(31.000000, 75.000000)"
13,Stretchleigh,Valid,UN,10.4,Fell,1623.0,50.38333,-3.95,"(50.383330, -3.950000)"
14,Hatford,Valid,UN,29.0,Fell,1628.0,51.65,-1.51667,"(51.650000, -1.516670)"
15,Minamino,Valid,OC,1.04,Fell,1632.0,35.07833,136.93333,"(35.078330, 136.933330)"
16,Sagan,Valid,UN,,Fell,1636.0,51.53333,14.88333,"(51.533330, 14.883330)"
17,Mount Vaisi,Valid,UN,17.0,Fell,1637.0,44.08333,6.86667,"(44.083330, 6.866670)"
18,Stolzenau,Valid,UN,,Fell,1647.0,52.53333,9.05,"(52.533330, 9.050000)"
19,Fünen,Valid,UN,,Fell,1654.0,55.33333,10.33333,"(55.333330, 10.333330)"
20,Novy-Ergi,Valid,UN,,Fell,1662.0,58.55,31.33333,"(58.550000, 31.333330)"
21,Vago,Valid,OC,0.04,Fell,1668.0,45.41667,11.13333,"(45.416670, 11.133330)"
22,Ortenau,Valid,UN,4.5,Fell,1671.0,48.5,8.0,"(48.500000, 8.000000)"
23,Sasagase,Valid,OC,0.695,Fell,1688.0,34.71667,137.78333,"(34.716670, 137.783330)"
24,Barcelona (stone),Valid,OC,,Fell,1704.0,41.36667,2.16667,"(41.366670, 2.166670)"
25,Schellin,Valid,OC,7.0,Fell,1715.0,53.35,15.05,"(53.350000, 15.050000)"
26,Siratik,Valid,MIM,1.7,Found,1716.0,14.0,-11.0,"(14.000000, -11.000000)"
27,Ploschkovitz,Valid,OC,0.039,Fell,1723.0,50.53333,14.11667,"(50.533330, 14.116670)"
28,Steinbach,Valid,MIM,98.0,Found,1724.0,50.5,12.5,"(50.500000, 12.500000)"
29,Rasgrad,Valid,UN,24.7,Fell,1740.0,43.5,26.53333,"(43.500000, 26.533330)"
30,Ogi,Valid,OC,14.36,Fell,1741.0,33.28333,130.2,"(33.283330, 130.200000)"
31,Krasnojarsk,Valid,P,700.0,Found,1749.0,54.9,91.8,"(54.900000, 91.800000)"
32,Nicorps,Valid,UN,,Fell,1750.0,49.03333,-1.43333,"(49.033330, -1.433330)"
33,Hraschina,Valid,MIM,49.0,Fell,1751.0,46.1,16.33333,"(46.100000, 16.333330)"
34,Tabor,Valid,OC,7.54,Fell,1753.0,49.4,14.65,"(49.400000, 14.650000)"
35,Luponnas,Valid,OC,14.0,Fell,1753.0,46.21667,5.0,"(46.216670, 5.000000)"
36,Albareto,Valid,OC,2.0,Fell,1766.0,44.65,11.01667,"(44.650000, 11.016670)"
37,Mauerkirchen,Valid,OC,19.0,Fell,1768.0,48.18333,13.13333,"(48.183330, 13.133330)"
38,Lucé,Valid,OC,3.5,Fell,1768.0,47.85,0.48333,"(47.850000, 0.483330)"
39,Aire-sur-la-Lys,Valid,UN,,Fell,1769.0,50.66667,2.33333,"(50.666670, 2.333330)"
40,Sena,Valid,OC,4.0,Fell,1773.0,41.71667,-0.05,"(41.716670, -0.050000)"
41,Rodach,Valid,UN,2.9,Fell,1775.0,50.35,10.8,"(50.350000, 10.800000)"
42,Owrucz,Valid,OC,,Fell,1775.0,51.33333,28.83333,"(51.333330, 28.833330)"
43,Toluca,Valid,NMIM,3000.0,Found,1776.0,19.56667,-99.56667,"(19.566670, -99.566670)"
44,Pettiswood,Valid,UN,,Fell,1779.0,53.53333,-7.33333,"(53.533330, -7.333330)"
45,Longchang,Valid,MIM,158.5,Found,1781.0,29.3,105.3,"(29.300000, 105.300000)"
46,Sierra Blanca,Valid,NMIM,0.405,Found,1784.0,27.15,-104.9,"(27.150000, -104.900000)"
47,Bendegó,Valid,MIM,5360.0,Found,1784.0,-10.11667,-39.2,"(-10.116670, -39.200000)"
48,Eichstädt,Valid,OC,3.0,Fell,1785.0,48.9,11.21667,"(48.900000, 11.216670)"
49,Kharkov,Valid,OC,1.5,Fell,1787.0,50.625,35.075,"(50.625000, 35.075000)"
50,Barbotan,Valid,OC,6.4,Fell,1790.0,43.95,-0.05,"(43.950000, -0.050000)"
51,Castel Berardenga,Valid,UN,,Fell,1791.0,43.35,11.5,"(43.350000, 11.500000)"
52,Zacatecas (1792),Valid,UN,1000.0,Found,1792.0,22.81667,-102.56667,"(22.816670, -102.566670)"
53,Cape of Good Hope,Valid,MIM,136.0,Found,1793.0,-33.5,26.0,"(-33.500000, 26.000000)"
54,Siena,Valid,OC,3.7,Fell,1794.0,43.11667,11.6,"(43.116670, 11.600000)"
55,Wold Cottage,Valid,OC,25.0,Fell,1795.0,54.13667,-0.41333,"(54.136670, -0.413330)"
56,Mulletiwu,Valid,OC,0.0255,Fell,1795.0,9.33333,80.83333,"(9.333330, 80.833330)"
57,Portugal,Valid,UN,4.5,Fell,1796.0,38.5,-8.0,"(38.500000, -8.000000)"
58,Bjelaja Zerkov,Valid,OC,1.85,Fell,1796.0,49.78333,30.16667,"(49.783330, 30.166670)"
59,Prambanan,Valid,UN,500.0,Found,1797.0,-7.56667,110.83333,"(-7.566670, 110.833330)"
60,Salles,Valid,OC,9.0,Fell,1798.0,46.05,4.63333,"(46.050000, 4.633330)"
61,Benares (a),Valid,OC,3.7,Fell,1798.0,25.36667,82.91667,"(25.366670, 82.916670)"
62,Mauritius,Valid,OC,0.22,Fell,1801.0,-20.0,57.0,"(-20.000000, 57.000000)"
63,Mässing,Valid,AA,1.6,Fell,1803.0,48.13333,12.61667,"(48.133330, 12.616670)"
64,Apt,Valid,OC,3.2,Fell,1803.0,43.86667,5.38333,"(43.866670, 5.383330)"
65,L'Aigle,Valid,OC,37.0,Fell,1803.0,48.76667,0.63333,"(48.766670, 0.633330)"
66,High Possil,Valid,OC,4.5,Fell,1804.0,55.9,-4.23333,"(55.900000, -4.233330)"
67,Bocas,Valid,OC,0.056,Fell,1804.0,23.0,-102.0,"(23.000000, -102.000000)"
68,Darmstadt,Valid,OC,0.1,Fell,1804.0,49.86667,8.65,"(49.866670, 8.650000)"
69,Durango,Valid,MIM,164.0,Found,1804.0,,,
70,Misteca,Valid,UN,10.0,Found,1804.0,16.8,-97.1,"(16.800000, -97.100000)"
71,Charcas,Valid,MIM,1400.0,Found,1804.0,23.08333,-101.01667,"(23.083330, -101.016670)"
72,Bitburg,Valid,NMIM,1500.0,Found,1805.0,49.96667,6.53333,"(49.966670, 6.533330)"
73,Doroninsk,Valid,OC,3.891,Fell,1805.0,51.2,112.3,"(51.200000, 112.300000)"
74,Asco,Valid,OC,0.041,Fell,1805.0,42.45,9.03333,"(42.450000, 9.033330)"
75,Alais,Valid,CC,6.0,Fell,1806.0,44.11667,4.08333,"(44.116670, 4.083330)"
76,Timochin,Valid,OC,65.5,Fell,1807.0,54.5,35.2,"(54.500000, 35.200000)"
77,Weston,Valid,OC,150.0,Fell,1807.0,41.266667,-73.266667,"(41.266667, -73.266667)"
78,Lissa,Valid,OC,12.8,Fell,1808.0,50.2,14.85,"(50.200000, 14.850000)"
79,Borgo San Donino,Valid,OC,1.676,Fell,1808.0,44.86667,10.05,"(44.866670, 10.050000)"
80,Stannern,Valid,AA,52.0,Fell,1808.0,49.28333,15.56667,"(49.283330, 15.566670)"
81,Moradabad,Valid,OC,0.07,Fell,1808.0,28.78333,78.83333,"(28.783330, 78.833330)"
82,Red River,Valid,MIM,800.0,Found,1808.0,32.0,-95.0,"(32.000000, -95.000000)"
83,Kikino,Valid,OC,0.195,Fell,1809.0,55.0,34.0,"(55.000000, 34.000000)"
84,Mooresfort,Valid,OC,3.52,Fell,1810.0,52.45,-8.33333,"(52.450000, -8.333330)"
85,Santa Rosa,Valid,MIM,825.0,Found,1810.0,5.91667,-73.0,"(5.916670, -73.000000)"
86,Brahin,Valid,P,823.0,Found,1810.0,52.5,30.33333,"(52.500000, 30.333330)"
87,Charsonville,Valid,OC,27.0,Fell,1810.0,47.93333,1.56667,"(47.933330, 1.566670)"
88,Caswell County,Valid,OC,1.36,Fell,1810.0,36.5,-79.25,"(36.500000, -79.250000)"
89,Kuleschovka,Valid,OC,6.0,Fell,1811.0,50.75,33.5,"(50.750000, 33.500000)"
90,Punganaru,Valid,UN,0.1,Fell,1811.0,13.33333,78.95,"(13.333330, 78.950000)"
91,Berlanguillas,Valid,OC,1.44,Fell,1811.0,41.68333,-3.8,"(41.683330, -3.800000)"
92,Erxleben,Valid,OC,2.25,Fell,1812.0,52.21667,11.25,"(52.216670, 11.250000)"
93,Toulouse,Valid,OC,1.03,Fell,1812.0,43.6,1.4,"(43.600000, 1.400000)"
94,Borodino,Valid,OC,0.5,Fell,1812.0,55.46667,35.86667,"(55.466670, 35.866670)"
95,Chantonnay,Valid,OC,31.5,Fell,1812.0,46.68333,1.05,"(46.683330, 1.050000)"
