,GeoLocation
0,"(40.333330, -90.050000)"
1,"(49.416670, 21.700000)"
2,"(33.725000, 130.750000)"
3,"(42.516670, 12.516670)"
4,"(50.183330, 12.733330)"
5,"(45.483330, 9.516670)"
6,"(47.866670, 7.350000)"
7,"(44.066670, 12.100000)"
8,"(39.000000, -0.033330)"
9,"(-27.466670, -60.583330)"
10,"(39.800000, 16.200000)"
11,"(27.050000, -105.433330)"
12,"(31.000000, 75.000000)"
13,"(50.383330, -3.950000)"
14,"(51.650000, -1.516670)"
15,"(35.078330, 136.933330)"
16,"(51.533330, 14.883330)"
17,"(44.083330, 6.866670)"
18,"(52.533330, 9.050000)"
19,"(55.333330, 10.333330)"
20,"(58.550000, 31.333330)"
21,"(45.416670, 11.133330)"
22,"(48.500000, 8.000000)"
23,"(34.716670, 137.783330)"
24,"(41.366670, 2.166670)"
25,"(53.350000, 15.050000)"
26,"(14.000000, -11.000000)"
27,"(50.533330, 14.116670)"
28,"(50.500000, 12.500000)"
29,"(43.500000, 26.533330)"
30,"(33.283330, 130.200000)"
31,"(54.900000, 91.800000)"
32,"(49.033330, -1.433330)"
33,"(46.100000, 16.333330)"
34,"(49.400000, 14.650000)"
35,"(46.216670, 5.000000)"
36,"(44.650000, 11.016670)"
37,"(48.183330, 13.133330)"
38,"(47.850000, 0.483330)"
39,"(50.666670, 2.333330)"
40,"(41.716670, -0.050000)"
41,"(50.350000, 10.800000)"
42,"(51.333330, 28.833330)"
43,"(19.566670, -99.566670)"
44,"(53.533330, -7.333330)"
45,"(29.300000, 105.300000)"
46,"(27.150000, -104.900000)"
47,"(-10.116670, -39.200000)"
48,"(48.900000, 11.216670)"
49,"(50.625000, 35.075000)"
50,"(43.950000, -0.050000)"
51,"(43.350000, 11.500000)"
52,"(22.816670, -102.566670)"
53,"(-33.500000, 26.000000)"
54,"(43.116670, 11.600000)"
55,"(54.136670, -0.413330)"
56,"(9.333330, 80.833330)"
57,"(38.500000, -8.000000)"
58,"(49.783330, 30.166670)"
59,"(-7.566670, 110.833330)"
60,"(46.050000, 4.633330)"
61,"(25.366670, 82.916670)"
62,"(-20.000000, 57.000000)"
63,"(48.133330, 12.616670)"
64,"(43.866670, 5.383330)"
65,"(48.766670, 0.633330)"
66,"(55.900000, -4.233330)"
67,"(23.000000, -102.000000)"
68,"(49.866670, 8.650000)"
69,
70,"(16.800000, -97.100000)"
71,"(23.083330, -101.016670)"
72,"(49.966670, 6.533330)"
73,"(51.200000, 112.300000)"
74,"(42.450000, 9.033330)"
75,"(44.116670, 4.083330)"
76,"(54.500000, 35.200000)"
77,"(41.266667, -73.266667)"
78,"(50.200000, 14.850000)"
79,"(44.866670, 10.050000)"
80,"(49.283330, 15.566670)"
81,"(28.783330, 78.833330)"
82,"(32.000000, -95.000000)"
83,"(55.000000, 34.000000)"
84,"(52.450000, -8.333330)"
85,"(5.916670, -73.000000)"
86,"(52.500000, 30.333330)"
87,"(47.933330, 1.566670)"
88,"(36.500000, -79.250000)"
89,"(50.750000, 33.500000)"
90,"(13.333330, 78.950000)"
91,"(41.683330, -3.800000)"
92,"(52.216670, 11.250000)"
